"자치구별(1)","항목","시점","경제활동별(1)",데이터
"종로구","2020년 기준년 연쇄가격","2021","순생산물세",4278881
"종로구","2020년 기준년 연쇄가격","2021","총부가가치(기초가격)",27335310
"종로구","2020년 기준년 연쇄가격","2021","농업, 임업 및 어업",12129
"종로구","2020년 기준년 연쇄가격","2021","광업",7391
"종로구","2020년 기준년 연쇄가격","2021","제조업",609320
"종로구","2020년 기준년 연쇄가격","2021","전기, 가스, 증기 및 공기 조절 공급업",73473
"종로구","2020년 기준년 연쇄가격","2021","건설업",307890
"종로구","2020년 기준년 연쇄가격","2021","도매 및 소매업",2312003
"종로구","2020년 기준년 연쇄가격","2021","운수 및 창고업",823575
"종로구","2020년 기준년 연쇄가격","2021","숙박 및 음식점업",514239
"종로구","2020년 기준년 연쇄가격","2021","정보통신업",2640217
"종로구","2020년 기준년 연쇄가격","2021","금융 및 보험업",7029500
"종로구","2020년 기준년 연쇄가격","2021","부동산업",1120036
"종로구","2020년 기준년 연쇄가격","2021","사업서비스업",4022657
"종로구","2020년 기준년 연쇄가격","2021","공공 행정, 국방 및 사회보장 행정",4887268
"종로구","2020년 기준년 연쇄가격","2021","교육 서비스업",766927
"종로구","2020년 기준년 연쇄가격","2021","보건업 및 사회복지서비스업",1491779
"종로구","2020년 기준년 연쇄가격","2021","문화 및 기타 서비스업",716906
"종로구","2020년 기준년 연쇄가격","2022","지역내총생산(시장가격)",32080851
"종로구","2020년 기준년 연쇄가격","2022","순생산물세",4132214
"종로구","2020년 기준년 연쇄가격","2022","총부가가치(기초가격)",27950852
"종로구","2020년 기준년 연쇄가격","2022","농업, 임업 및 어업",10632
"종로구","2020년 기준년 연쇄가격","2022","광업",8507
"종로구","2020년 기준년 연쇄가격","2022","제조업",607601
"종로구","2020년 기준년 연쇄가격","2022","전기, 가스, 증기 및 공기 조절 공급업",72578
"종로구","2020년 기준년 연쇄가격","2022","건설업",85810
"종로구","2020년 기준년 연쇄가격","2022","도매 및 소매업",3146166
"종로구","2020년 기준년 연쇄가격","2022","운수 및 창고업",858933
