STD_YEAR,STD_QT,DIST_CODE,AGE_ORD,AGE_GRP,POP_CNT
2014,1,11380,19,90~94세,1106
2014,1,11380,20,95~99세,279
2014,1,11380,21,100세 이상,322
2014,1,11410,1,0~4세,11732
2014,1,11410,2,5~9세,11294
2014,1,11410,3,10~14세,14158
2014,1,11410,4,15~19세,18637
2014,1,11410,5,20~24세,25034
2014,1,11410,6,25~29세,25837
2014,1,11410,7,30~34세,27967
2014,1,11410,8,35~39세,24097
2014,1,11410,9,40~44세,28813
2014,1,11410,10,45~49세,25940
2014,1,11410,11,50~54세,26373
2014,1,11410,12,55~59세,23458
2014,1,11410,13,60~64세,16363
2014,1,11410,14,65~69세,14538
2014,1,11410,15,70~74세,13226
2014,1,11410,16,75~79세,8948
2014,1,11410,17,80~84세,4425
2014,1,11410,18,85~89세,2009
2014,1,11410,19,90~94세,832
2014,1,11410,20,95~99세,223
2014,1,11410,21,100세 이상,176
2014,1,11440,1,0~4세,16029
2014,1,11440,2,5~9세,15811
2014,1,11440,3,10~14세,17122
2014,1,11440,4,15~19세,20190
2014,1,11440,5,20~24세,26910
2014,1,11440,6,25~29세,33162
2014,1,11440,7,30~34세,40095
2014,1,11440,8,35~39세,35209
2014,1,11440,9,40~44세,37489
2014,1,11440,10,45~49세,29900
2014,1,11440,11,50~54세,29545
2014,1,11440,12,55~59세,25660
2014,1,11440,13,60~64세,17772
2014,1,11440,14,65~69세,15630
2014,1,11440,15,70~74세,13491
2014,1,11440,16,75~79세,8982
2014,1,11440,17,80~84세,4738
2014,1,11440,18,85~89세,2121
2014,1,11440,19,90~94세,886
2014,1,11440,20,95~99세,237
2014,1,11440,21,100세 이상,198
2014,1,11470,1,0~4세,18144
2014,1,11470,2,5~9세,21731
2014,1,11470,3,10~14세,30629
2014,1,11470,4,15~19세,38709
2014,1,11470,5,20~24세,35116
2014,1,11470,6,25~29세,31287
2014,1,11470,7,30~34세,37781
2014,1,11470,8,35~39세,35731
2014,1,11470,9,40~44세,47195
2014,1,11470,10,45~49세,47791
2014,1,11470,11,50~54세,45150
2014,1,11470,12,55~59세,36265
2014,1,11470,13,60~64세,23522
2014,1,11470,14,65~69세,17184
2014,1,11470,15,70~74세,12707
2014,1,11470,16,75~79세,8328
2014,1,11470,17,80~84세,4841
2014,1,11470,18,85~89세,2397
2014,1,11470,19,90~94세,925
2014,1,11470,20,95~99세,218
2014,1,11470,21,100세 이상,110
2014,1,11500,1,0~4세,25245
2014,1,11500,2,5~9세,22934
2014,1,11500,3,10~14세,26452
2014,1,11500,4,15~19세,33342
2014,1,11500,5,20~24세,38800
2014,1,11500,6,25~29세,43300
2014,1,11500,7,30~34세,57427
2014,1,11500,8,35~39세,48562
2014,1,11500,9,40~44세,49858
2014,1,11500,10,45~49세,44563
2014,1,11500,11,50~54세,48688
2014,1,11500,12,55~59세,44665
2014,1,11500,13,60~64세,30308
2014,1,11500,14,65~69세,22518
2014,1,11500,15,70~74세,16423
2014,1,11500,16,75~79세,10521
2014,1,11500,17,80~84세,6248
2014,1,11500,18,85~89세,3127
2014,1,11500,19,90~94세,1187
2014,1,11500,20,95~99세,254
2014,1,11500,21,100세 이상,172
2014,1,11530,1,0~4세,21777
2014,1,11530,2,5~9세,18292
2014,1,11530,3,10~14세,18440
2014,1,11530,4,15~19세,22636
2014,1,11530,5,20~24세,27140
2014,1,11530,6,25~29세,33929
2014,1,11530,7,30~34세,45751
2014,1,11530,8,35~39세,40607
2014,1,11530,9,40~44세,40271
2014,1,11530,10,45~49세,36103
2014,1,11530,11,50~54세,38910
2014,1,11530,12,55~59세,35978
2014,1,11530,13,60~64세,25172
2014,1,11530,14,65~69세,19032
2014,1,11530,15,70~74세,14209
2014,1,11530,16,75~79세,8688
2014,1,11530,17,80~84세,4257
2014,1,11530,18,85~89세,1961
2014,1,11530,19,90~94세,710
2014,1,11530,20,95~99세,181
2014,1,11530,21,100세 이상,117
2014,1,11545,1,0~4세,9199
2014,1,11545,2,5~9세,8348
2014,1,11545,3,10~14세,9836
2014,1,11545,4,15~19세,13887
2014,1,11545,5,20~24세,16832
2014,1,11545,6,25~29세,20192
