,asthma_cnt_d0,asthma_cnt_d_plus_1,asthma_cnt_d_plus_2,asthma_cnt_d_plus_3,dist_name
pm10_avg_d0,0.20482731840199273,0.15953638811416113,0.20027645783050282,0.20115171947982136,DIST_11320
pm10_streak_d0,0.04439737457602084,0.04215526016655382,0.07319882709743289,0.11926007090275316,DIST_11320
pm10_ma_72h,0.23244878513474493,0.23232628945292363,0.24522914108664987,0.2327764212573798,DIST_11320
temp_avg_d0,-0.24995357075562818,-0.2527672935507877,-0.24703462614619012,-0.24839520130581053,DIST_11320
temp_diff_d0,0.047677120946871376,0.02371295861492507,0.03272965711319064,0.01943030885392891,DIST_11320
temp_min_d0,-0.25804881614419706,-0.25676997953894565,-0.25267531757474243,-0.25138519908789814,DIST_11320
is_holiday,-0.5497079421387501,-0.16849738227533115,0.32020038553005825,0.1056919964858181,DIST_11320
std_month,-0.06360496780391313,-0.07352145633488465,-0.06304814493828328,-0.05970887881408177,DIST_11320
asthma_prev_d1,0.23578305829790253,0.2507508677618322,0.3526732092178874,0.35395335778842413,DIST_11320
asthma_prev_d2,0.2500570640792826,0.353174265311212,0.35414545164754546,0.23764994377826268,DIST_11320
asthma_prev_d3,0.3516056224918488,0.35539658888799003,0.23805789116249726,0.2371606374988191,DIST_11320
pm25_avg_d0,0.11374679778361028,0.09452609359363669,0.12626942673296843,0.14001373814860735,DIST_11350
pm25_max_d0,0.1154461041680934,0.08119344940209144,0.12107328602010366,0.13228280668358144,DIST_11350
pm25_streak_d0,0.022034538646459417,-0.014868247130199654,0.036852976420544935,0.0313781533490692,DIST_11350
pm25_ma_72h,0.1304833936172446,0.14182216339475642,0.15228847925209765,0.14870539433850355,DIST_11350
pm10_avg_d0,0.15039523398953852,0.11890137794892142,0.1561540900629031,0.15306396032525013,DIST_11350
pm10_streak_d0,0.028368914021206414,0.011299546973747817,0.0528733253118468,0.06991604828722477,DIST_11350
pm10_ma_72h,0.17586286286571515,0.1787358958999143,0.18895040319465742,0.17894667912705606,DIST_11350
temp_avg_d0,-0.23778006768711307,-0.24035188534895938,-0.2353077628044749,-0.23527377257148482,DIST_11350
temp_diff_d0,0.0898665454572766,0.07127788570633882,0.0786412400987361,0.08450746265874912,DIST_11350
temp_min_d0,-0.24910607742077753,-0.24608283954716992,-0.24219167347537207,-0.24349015180797037,DIST_11350
is_holiday,-0.5142692323968275,-0.13922009143942918,0.28073884674187716,0.10556692606762488,DIST_11350
std_month,-0.023696088782790312,-0.03409042672980107,-0.02548369822239452,-0.02196844048660619,DIST_11350
asthma_prev_d1,0.27862242501727597,0.35798725125565733,0.38923506049297435,0.38530215712236204,DIST_11350
asthma_prev_d2,0.35681263909410477,0.38987180057244003,0.38562990837745265,0.34529485562612905,DIST_11350
asthma_prev_d3,0.3879821057471497,0.3870390806160081,0.3457585475313843,0.2803778351379312,DIST_11350
pm25_avg_d0,0.1441989186610966,0.09632519489289389,0.12848197508944267,0.15173660620236282,DIST_11380
pm25_max_d0,0.1500982373182725,0.09287189086578139,0.135179743755032,0.16118270797459494,DIST_11380
pm25_streak_d0,0.038782276825805206,0.018687102885888738,0.058352357957535225,0.06736926438343677,DIST_11380
pm25_ma_72h,0.14665505328499148,0.15067893911831412,0.1683739170420872,0.1634183946111967,DIST_11380
pm10_avg_d0,0.1903259108164931,0.12755943148469048,0.16624811623689023,0.1741579615295986,DIST_11380
pm10_streak_d0,0.03986220579742778,0.03423931145135628,0.055054785127613075,0.09004638805949508,DIST_11380
pm10_ma_72h,0.19807805794265373,0.19265729696339445,0.20785669333905818,0.19669274121704802,DIST_11380
temp_avg_d0,-0.24381259244174186,-0.24425856012181626,-0.2396923420079733,-0.24140999591618936,DIST_11380
temp_diff_d0,0.10507391492843608,0.07966347865178977,0.09235156732303922,0.0889056860102594,DIST_11380
temp_min_d0,-0.25197170462854257,-0.24796256033331707,-0.24520470295799482,-0.24493509191440468,DIST_11380
is_holiday,-0.5024605049173717,-0.1414579865843156,0.3088390386452266,0.06691932309011246,DIST_11380
std_month,-0.003323797156991861,-0.014080303452560828,-0.0035220361231358124,-0.0012831798226427985,DIST_11380
asthma_prev_d1,0.18989030858501293,0.2771797110211258,0.3734990586246337,0.3700140278033575,DIST_11380
asthma_prev_d2,0.27631655492211354,0.37389900244119967,0.37011324239963644,0.25951887237747423,DIST_11380
asthma_prev_d3,0.37242512448351445,0.3709486219630225,0.2596713177436657,0.19964159640541024,DIST_11380
pm25_avg_d0,0.14552699954376866,0.09682591011146502,0.1322147553917557,0.1577350672850268,DIST_11410
pm25_max_d0,0.15364329494578677,0.09421918625367659,0.1455866080574163,0.16923106735472537,DIST_11410
pm25_streak_d0,0.06886092101688654,0.008067603967594388,0.06826115934207486,0.08957734159797251,DIST_11410
pm25_ma_72h,0.14653913407561153,0.15239974565840703,0.17206142631506202,0.17178477317407329,DIST_11410
pm10_avg_d0,0.21640955556044794,0.15049020261399734,0.19593386644085278,0.20262876676217642,DIST_11410
pm10_streak_d0,0.05172121839671232,0.04776484123030858,0.07172766029674636,0.10876795132693953,DIST_11410
pm10_ma_72h,0.22850089832537915,0.22423679152245668,0.24352974738549388,0.23569868600452146,DIST_11410
temp_avg_d0,-0.25102977048156644,-0.25499904951814684,-0.24748166362503596,-0.2464370279478449,DIST_11410
temp_diff_d0,0.05371542178875874,0.029395085144062822,0.03476499265041739,0.03205131108852563,DIST_11410
temp_min_d0,-0.25835156950302784,-0.2592946801382195,-0.2515227665736803,-0.25008553977023545,DIST_11410
is_holiday,-0.5141422797891602,-0.17190877695292278,0.3046528454155504,0.08396522570947818,DIST_11410
std_month,-0.05624564660842697,-0.06711131380581031,-0.05576700346825751,-0.05198162825478895,DIST_11410
asthma_prev_d1,0.17244214898766042,0.25372822314092136,0.3441316615788366,0.342676362143238,DIST_11410
asthma_prev_d2,0.2529157760247856,0.34427018573473855,0.34280000826605334,0.23900235011552026,DIST_11410
asthma_prev_d3,0.34274447869857555,0.3436920791812634,0.2392280567729199,0.1762967344088111,DIST_11410
pm25_avg_d0,0.16106835153133622,0.12325139168737298,0.16257363198113509,0.1769600783264959,DIST_11440
pm25_max_d0,0.14671023990948032,0.0906242369941918,0.142937197012411,0.1650165714703505,DIST_11440
pm25_streak_d0,0.0451950134409833,0.0070299748012237475,0.07013011141567528,0.06420468848726422,DIST_11440
pm25_ma_72h,0.17413536220249917,0.18142416318731194,0.19858820228950025,0.19510662082479918,DIST_11440
pm10_avg_d0,0.18766659743530925,0.1382014787924396,0.17685714261523397,0.18322674620423238,DIST_11440
pm10_streak_d0,0.021267651653558414,0.007722184266450385,0.055671797366059914,0.08165016014701058,DIST_11440
pm10_ma_72h,0.20303967285464794,0.20296498140901967,0.2157858575410839,0.2051018718597805,DIST_11440
temp_avg_d0,-0.20596298229756152,-0.20855364511190952,-0.20048431199291536,-0.20167057354665843,DIST_11440
temp_diff_d0,0.039994147249657,0.007978781160231542,0.016208415039651605,0.015755505491748745,DIST_11440
temp_min_d0,-0.2106847679012253,-0.2094315334621271,-0.20140218078943514,-0.20276649479959072,DIST_11440
is_holiday,-0.5489180720959974,-0.181272192918885,0.30590730150467793,0.11588235667972609,DIST_11440
std_month,-0.03052370663997913,-0.04076128885297036,-0.0339113730138802,-0.03165536157361076,DIST_11440
asthma_prev_d1,0.2195411033512647,0.2582009382465764,0.31261087884867483,0.31113845588917377,DIST_11440
asthma_prev_d2,0.2571458861070804,0.31333552878253357,0.31140307732363615,0.23636298537833686,DIST_11440
asthma_prev_d3,0.31141186991517417,0.31306862175687944,0.23680441344617173,0.21871269476635066,DIST_11440
pm25_avg_d0,0.1253099638648411,0.08608184387578291,0.12247594701164806,0.14611594024391253,DIST_11470
pm25_max_d0,0.12362392211842807,0.06470933875926115,0.12801343999777293,0.14353964314379392,DIST_11470
pm25_streak_d0,0.051121259043177505,-0.020173416566441896,0.07070345813341619,0.06083160479733689,DIST_11470
pm25_ma_72h,0.1302043393012609,0.13936903855654034,0.15570007632446106,0.15198337835415515,DIST_11470
pm10_avg_d0,0.15246818316731198,0.09638431575258033,0.13778876761882528,0.1551653570824834,DIST_11470
pm10_streak_d0,0.011274646629806356,-0.008891638073830317,0.057059184887884695,0.061345169476670396,DIST_11470
pm10_ma_72h,0.15691636216377203,0.1593552972478768,0.17397322751106167,0.1655969008862068,DIST_11470
temp_avg_d0,-0.23205889948402922,-0.23583900480001596,-0.22840174622557216,-0.2282271667704468,DIST_11470
temp_diff_d0,0.021379509533997514,0.011010579249170373,0.011936657320270948,0.008876547501981738,DIST_11470
temp_min_d0,-0.23488237031710665,-0.23757906263478598,-0.23031395893103568,-0.2293772356659422,DIST_11470
is_holiday,-0.5558223895285951,-0.16800078801735538,0.31781710459855744,0.09940648485314499,DIST_11470
std_month,-0.01495673536602374,-0.02551100255947823,-0.01654769663877839,-0.014093399068237932,DIST_11470
asthma_prev_d1,0.20206892729351306,0.23603128257601932,0.3121997957687538,0.3095283104753576,DIST_11470
asthma_prev_d2,0.23516943335864887,0.3126407364110921,0.309733957601785,0.2209963600427088,DIST_11470
asthma_prev_d3,0.310730756375882,0.3108809225410002,0.22142112869531588,0.20596942769363263,DIST_11470
pm25_avg_d0,0.12021688627053409,0.07860337223629546,0.11159000129904727,0.13884522000892296,DIST_11500
pm25_max_d0,0.11614201013395635,0.06883745247687667,0.12640969326424575,0.14859862698204007,DIST_11500
pm25_streak_d0,0.03509195993648978,-0.012323293253757004,0.06512363584859959,0.06585765683365094,DIST_11500
pm25_ma_72h,0.12242678180433607,0.13073767350081497,0.14749834883413981,0.145204710064464,DIST_11500
pm10_avg_d0,0.17876140621744366,0.11959223781204545,0.15878435442796346,0.17595881999501792,DIST_11500
pm10_streak_d0,0.022438332495624103,0.0123853598962144,0.06292479420484766,0.07526419229949831,DIST_11500
pm10_ma_72h,0.18456262798328957,0.18471377776853143,0.20135417930381286,0.1945196933253928,DIST_11500
temp_avg_d0,-0.22655528689994506,-0.2309207416072216,-0.2223028259130164,-0.22357425254934057,DIST_11500
temp_diff_d0,-0.0418243835158942,-0.0569551808153886,-0.04968796601787402,-0.05223457596197869,DIST_11500
temp_min_d0,-0.2192763394719826,-0.22094466938208857,-0.2137647925791095,-0.21321978543228742,DIST_11500
is_holiday,-0.5216535763777559,-0.15418542088461526,0.2945446719091776,0.09088331079277207,DIST_11500
std_month,-0.034301620613734284,-0.04406544213470446,-0.035697240530966755,-0.03387638285574271,DIST_11500
asthma_prev_d1,0.25287160762941113,0.3193658760104556,0.3627637967587247,0.3636194876376051,DIST_11500
asthma_prev_d2,0.31818883561155814,0.3635995470146882,0.36398228715418984,0.30542521080177937,DIST_11500
asthma_prev_d3,0.36160061692754114,0.3654626813351693,0.30598026797481065,0.2557870379854475,DIST_11500
pm25_avg_d0,0.1285657150280291,0.09284810827931052,0.13080089352034963,0.1545082822710643,DIST_11530
pm25_max_d0,0.1250443505196,0.07946311824385681,0.13147628242467457,0.162957266989105,DIST_11530
pm25_streak_d0,0.03970690321187792,0.016832505709620013,0.056764646716894504,0.07759633281787683,DIST_11530
