,cold_cnt_d0,cold_cnt_d_plus_1,cold_cnt_d_plus_2,cold_cnt_d_plus_3,dist_name
pm25_avg_d0,0.11094496293630852,0.06869748805931401,0.10988362744319355,0.1332974202730092,DIST_11140
pm25_max_d0,0.09604876521403831,0.040368130709641424,0.09590170489214296,0.1214833304910363,DIST_11140
pm25_streak_d0,0.03239896589679907,0.0010780584556320265,0.08753041691651893,0.06876932557376755,DIST_11140
pm25_ma_72h,0.11472995992469621,0.12451254183745558,0.14443599555343273,0.14260185550463622,DIST_11140
pm10_avg_d0,0.10223419009639481,0.04921642427566627,0.0915604152954873,0.10152922769026407,DIST_11140
pm10_streak_d0,0.007010729447606511,0.0017608256084875912,0.036463025554232815,0.034039868548433265,DIST_11140
pm10_ma_72h,0.09957751679811983,0.10048215061884701,0.11665106335800779,0.10798012364270256,DIST_11140
temp_avg_d0,-0.28800619015996337,-0.28997515805342067,-0.28309611690752573,-0.28149326036477135,DIST_11140
temp_diff_d0,-0.008655813777062434,-0.027429697866785736,-0.01953683952850791,-0.01914932577206293,DIST_11140
temp_min_d0,-0.2913894878945982,-0.2903435217170204,-0.28392188954479586,-0.2824504562780186,DIST_11140
is_holiday,-0.4982384151948613,-0.13466034508286598,0.30288426873042246,0.06637616077697586,DIST_11140
std_month,-0.008636413593340024,-0.018911657853054643,-0.005539694271360785,0.0010992029890662773,DIST_11140
cold_prev_d1,0.24270970453490467,0.30350573661672126,0.3974123192988772,0.395265983881538,DIST_11140
cold_prev_d2,0.3029945997928698,0.3974378181768596,0.39529401711161655,0.2881626905203998,DIST_11140
cold_prev_d3,0.39645204260721384,0.39550416859706194,0.2881619332185053,0.24801389438850868,DIST_11140
pm25_avg_d0,0.13449148432589095,0.09892229346554808,0.13580561695111013,0.16206534188352792,DIST_11170
pm25_max_d0,0.14571874659314119,0.08941835479398369,0.1451581152756567,0.17071942736490436,DIST_11170
pm25_streak_d0,0.060717171662768785,0.03177362738153912,0.09256009240102919,0.09844061669201494,DIST_11170
pm25_ma_72h,0.14418269161593414,0.155866722272391,0.17520544580759215,0.17432000990465404,DIST_11170
pm10_avg_d0,0.09496301749231373,0.04197436237611349,0.0797222697495545,0.09582940224310811,DIST_11170
pm10_streak_d0,0.009916953913303153,-0.005389348093349233,0.03452337124548437,0.03408777288511007,DIST_11170
pm10_ma_72h,0.08910408299004627,0.09063865442892491,0.10753445673841006,0.10014246307771374,DIST_11170
temp_avg_d0,-0.2723303560492072,-0.2749198570374071,-0.26933102723255503,-0.2675694899637363,DIST_11170
temp_diff_d0,-0.010903618460460823,-0.03291117749274236,-0.01809168903460924,-0.032164552562684884,DIST_11170
temp_min_d0,-0.2746593669537596,-0.2732448033948084,-0.2699106977117119,-0.26647855563802814,DIST_11170
is_holiday,-0.49318487486039647,-0.14300562300879205,0.30116869709161054,0.06820822061062372,DIST_11170
std_month,0.00355476897217089,-0.00718451376189951,0.00565542913419915,0.012110318359334973,DIST_11170
cold_prev_d1,0.2508145755769915,0.31295612101930353,0.40290159742444437,0.4024792018693439,DIST_11170
cold_prev_d2,0.31242545599048427,0.40294078271581546,0.4025246395807987,0.29770138162047904,DIST_11170
cold_prev_d3,0.4018443511699009,0.40279939158188843,0.297738944553083,0.25374028033121604,DIST_11170
pm25_avg_d0,0.15016261224701452,0.1088173952313063,0.138818442743282,0.16387401220535938,DIST_11200
pm25_max_d0,0.17135819804413815,0.1191535781036541,0.16479478078873205,0.18738685041187766,DIST_11200
pm25_streak_d0,0.0972717510721932,0.040850071941251447,0.08691637751769136,0.1309249695037715,DIST_11200
pm25_ma_72h,0.15390203084446374,0.16016605970568928,0.17743689676487245,0.17658671698771403,DIST_11200
pm10_avg_d0,0.17308315295714788,0.11931774994180104,0.1621389519590172,0.17359780333407493,DIST_11200
pm10_streak_d0,0.04204332054211561,0.05086188362295136,0.06094871760588941,0.11493228464118736,DIST_11200
pm10_ma_72h,0.18241440262050676,0.1837896489508456,0.199953700134554,0.19143801342713612,DIST_11200
temp_avg_d0,-0.2742753205212377,-0.27791246250147494,-0.27216844538782603,-0.27079598813396505,DIST_11200
temp_diff_d0,0.05715236779138648,0.039739406090752744,0.04527391887524118,0.03433582503896861,DIST_11200
temp_min_d0,-0.2815038226416296,-0.28250940222345033,-0.2772557260780111,-0.2745247044087956,DIST_11200
is_holiday,-0.4730851892594564,-0.13523262518984977,0.2908321454510569,0.04699304810870261,DIST_11200
std_month,0.01086337300163993,0.0003268931498959373,0.013117678325685351,0.018686458942128045,DIST_11200
cold_prev_d1,0.25898933227173637,0.3399991867461994,0.42647916988588025,0.42447354350115996,DIST_11200
cold_prev_d2,0.3396415981587539,0.42654414058008033,0.4245186733580867,0.3245867425551816,DIST_11200
cold_prev_d3,0.4254668015772992,0.42476667053631684,0.32461960331547146,0.26210711089389216,DIST_11200
pm25_avg_d0,0.13784555946591823,0.10506954113748344,0.14013589698181278,0.16024638389410015,DIST_11215
pm25_max_d0,0.13625736383382922,0.09100099393605898,0.14269905661763055,0.15818628183010053,DIST_11215
pm25_streak_d0,0.055779203598016955,0.030140224640659165,0.07967672331811218,0.07505010847487517,DIST_11215
pm25_ma_72h,0.15026530598063212,0.16013218497309697,0.1750724363406679,0.17375009409428943,DIST_11215
